size;resolution;mask_size;nanoseconds
2;160x90;3x3;1359700
2;160x90;5x5;2300900
2;160x90;7x7;3604800
2;160x90;9x9;4875100
2;160x90;11x11;6927400
2;160x90;13x13;9066400
2;160x90;15x15;11868700
1;80x45;3x3;1108100
1;80x45;5x5;1636700
1;80x45;7x7;2096100
1;80x45;9x9;3125000
1;80x45;11x11;4680800
1;80x45;13x13;6095200
1;80x45;15x15;7651100
5;1280x720;3x3;19545100
5;1280x720;5x5;46136700
5;1280x720;7x7;85484900
5;1280x720;9x9;138377900
5;1280x720;11x11;195206900
5;1280x720;13x13;268551400
5;1280x720;15x15;368464600
4;640x360;3x3;5144800
4;640x360;5x5;11806200
4;640x360;7x7;21736500
4;640x360;9x9;35421900
4;640x360;11x11;54272000
4;640x360;13x13;77475800
4;640x360;15x15;109245000
3;320x180;3x3;2613000
3;320x180;5x5;3493600
3;320x180;7x7;5937100
3;320x180;9x9;9375700
3;320x180;11x11;13833500
3;320x180;13x13;18669000
3;320x180;15x15;25303400
2;160x90;3x3;1292700
2;160x90;5x5;1861900
2;160x90;7x7;3536900
2;160x90;9x9;5100200
2;160x90;11x11;7436100
2;160x90;13x13;10201800
2;160x90;15x15;12513300
1;80x45;3x3;1457700
1;80x45;5x5;2152300
1;80x45;7x7;2773900
1;80x45;9x9;3527700
1;80x45;11x11;4820000
1;80x45;13x13;6023800
1;80x45;15x15;7733800
5;1280x720;3x3;20566500
5;1280x720;5x5;50285100
5;1280x720;7x7;90245800
5;1280x720;9x9;147134600
5;1280x720;11x11;206897800
5;1280x720;13x13;281401000
5;1280x720;15x15;374881900
4;640x360;3x3;5128400
4;640x360;5x5;11526500
4;640x360;7x7;21633100
4;640x360;9x9;35818600
4;640x360;11x11;51182400
4;640x360;13x13;73844100
4;640x360;15x15;93965600
3;320x180;3x3;1690300
3;320x180;5x5;3172200
3;320x180;7x7;5667500
3;320x180;9x9;9019500
3;320x180;11x11;13138100
3;320x180;13x13;18111400
3;320x180;15x15;23941500
2;160x90;3x3;1232100
2;160x90;5x5;1807000
2;160x90;7x7;3065600
2;160x90;9x9;5574800
2;160x90;11x11;6838100
2;160x90;13x13;9250200
2;160x90;15x15;11788200
1;80x45;3x3;751500
1;80x45;5x5;1413300
1;80x45;7x7;2101000
1;80x45;9x9;3112700
1;80x45;11x11;4604100
1;80x45;13x13;5857000
1;80x45;15x15;7481700
5;1280x720;3x3;19121900
